ASV	NTC	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V5	V2_3	S2_2	D24	V24	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
ASV1	1	2	0	5	13	1	0	5	2	0	0	1	6679	0	5178	0	0	1	0	14067	3	2	2	0	3280	9396	195	3280	0	1	0	0	0	309	15	1	0	0	0	8	648	756	84	0	2298	9395	14	0	111	5554	75	6710	5	4808	977	9183	6351	5439	0	1	0	0	516	0	0	0	7	0	0	5171	0	0	0	65	0	16	0	1	0	0	1	0	72	1749	0	7980	8266	606	7	0	0
ASV2	0	0	0	1	0	0	0	9	4989	0	1	527	1	1560	2	0	96	1214	8	3	1351	75	55	2507	0	4	1	2	933	1	1	1	0	70	5	20	1687	0	1	6674	3	5	1362	69	1	0	1393	2	3651	6	1016	25	198	3	4	0	3	0	1	688	456	378	587	102	0	4446	5991	1	4290	1	1506	7	123	303	0	51	13	6	1372	4029	1157	1	1487	1	0	0	0	367	4940	1032	69
ASV3	1	0	6	6	0	0	0	3	0	0	0	100	68	542	0	0	5081	12	0	1	1609	9152	1	2	4	3	3	1	0	1	0	0	2	11	0	1	1	1	42	1	104	57	6727	0	0	0	6328	2	12	51	4885	274	1808	1	48	0	0	9	1	3	1	0	0	0	2	3	0	1	0	9	5761	1	1	2156	3	0	2	8	9	2	0	3	7104	0	0	5	3	0	3	13	0
ASV4	0	0	1	5	0	0	0	2	0	0	1	87	55	531	0	0	4573	11	2	0	1519	8540	0	0	2	5	4	1	1	7	1	0	2	11	0	2	1	2	50	0	88	60	6371	0	0	2	5846	4	7	44	4414	240	1655	0	45	6	1	6	1	1	0	0	0	0	6	2	0	2	0	11	5450	0	0	1990	3	0	3	3	13	1	1	2	6464	0	0	5	2	0	0	16	0
ASV5	8	6	3	4	40	0	0	10	2	0	0	0	12075	1	9403	3	1	3	0	25784	2	1	2	0	6062	16277	385	6002	3	3	0	1	0	592	20	0	0	0	2	8	1138	1488	139	0	4277	16692	4	1	191	10044	132	11872	15	8707	1729	16042	11522	9772	0	5	1	0	1005	0	0	3	24	0	3	9188	1	0	0	128	0	35	1	0	0	0	1	0	147	3048	0	14330	15226	1127	11	0	0
ASV6	8	2	1	8	29	1	0	5	7	0	0	0	8675	0	6709	1	5	0	0	18074	3	2	2	0	4289	11718	278	4178	1	0	0	0	0	349	16	0	0	0	1	11	786	1067	93	0	2957	11645	12	1	147	7175	78	8362	3	6192	1246	11301	8023	6787	0	1	0	0	684	0	1	1	21	0	1	6590	1	0	0	75	0	29	0	1	0	0	2	0	102	2163	0	9765	10612	783	14	0	0
ASV7	0	0	0	20	0	9	0	15263	0	4305	5042	699	1644	2757	0	1	6017	6	0	1	10138	1	3	7071	621	0	7	104	1608	0	5314	9587	20	1	6777	2620	286	2729	7204	2	3	2	101	0	0	1	3664	12992	7881	3228	78	5272	2883	1	2	3	1	2	7857	9999	449	0	0	79	4783	0	5	14321	7	47	5847	0	0	2	11	1757	14119	16332	2	10046	3347	22	133	1629	2215	951	0	11160	842	2	241
ASV8	5	2	7	8	21	0	0	10	6	0	1	0	9544	3	7180	1	1	1	1	20067	5	1	7	0	4817	12775	294	4545	4	1	0	0	0	410	15	1	0	0	1	15	875	1214	98	0	3248	13373	0	0	146	7901	93	9300	6	6794	1335	12724	9040	7664	0	1	0	0	770	0	3	2	15	1	2	7355	2	0	0	110	1	26	0	0	0	1	1	0	111	2347	0	10880	11754	801	13	0	0
ASV9	0	1	0	19	0	2	0	11973	0	3420	3973	559	1250	2280	3	1	4565	8	0	1	8176	1	3	5688	557	2	0	81	1295	0	4149	7480	25	1	5472	1992	230	2096	5784	2	1	3	69	1	4	1	2897	10328	5917	2621	65	4340	2291	1	6	2	1	2	6138	8044	341	0	0	59	3734	1	10	11202	4	36	4381	0	0	0	13	1316	10732	12607	4	7737	2623	16	117	1367	1752	738	0	8471	661	1	180
ASV10	0	0	1	22	0	1	0	11897	0	3245	4047	531	1239	2105	0	0	4701	6	0	0	7913	2	2	5518	512	0	3	67	1324	0	4100	7338	10	2	5129	2019	209	2066	5722	2	1	1	85	2	0	2	2844	10379	5896	2532	61	4011	2243	5	6	2	1	2	6008	7983	352	0	1	54	3721	0	0	11354	5	33	4529	0	0	1	2	1333	11031	12837	4	7688	2616	26	119	1295	1734	725	0	8335	695	0	198
ASV11	0	1	0	15	0	2	0	10052	0	2806	3438	455	1119	1791	0	0	3859	9	0	1	6801	0	1	4565	430	1	0	78	1033	0	3393	6208	17	0	4358	1817	186	1701	4782	2	3	0	59	1	3	2	2446	8987	4699	2236	34	3497	1833	0	1	3	2	1	4921	6591	325	0	0	60	3066	3	6	9324	4	29	3745	0	2	1	8	1115	8986	10662	5	6332	2195	18	84	1050	1457	638	0	6945	588	0	206
ASV12	4	0	0	5	15	0	0	5	3	0	0	1	6698	0	5275	0	1	0	0	14070	1	2	5	0	3355	9005	182	3176	1	1	0	0	0	301	10	0	0	0	5	4	597	838	77	0	2297	9518	3	0	107	5649	64	6644	10	4688	960	8956	6466	5436	0	0	0	1	516	0	1	2	11	0	0	5194	0	0	1	79	0	10	1	2	0	0	1	1	64	1754	0	7794	8122	600	11	0	0
ASV13	3	0	0	3	27	0	0	10	2	0	0	0	9159	2	7309	0	1	2	0	19823	1	3	3	0	4771	13092	289	4503	0	3	0	0	0	404	15	0	0	0	4	6	882	1133	96	0	3278	13243	3	1	154	7841	88	9001	7	6409	1411	12470	8926	7400	1	2	0	0	723	0	0	0	16	0	1	7500	1	0	0	105	1	23	0	0	0	1	1	0	130	2343	0	11057	11816	851	11	0	0
ASV14	1	0	1	2	0	1	0	9	6054	0	1	613	0	1880	4	0	95	1537	15	5	1699	86	76	3211	0	5	3	1	1117	2	0	3	1	65	3	18	1944	0	2	8381	4	3	1685	70	0	2	1656	4	4643	9	1280	28	250	4	3	1	3	0	2	884	505	482	672	115	1	5337	7532	1	5370	3	1823	5	151	351	0	72	11	2	1649	5052	1378	3	1748	1	0	0	0	475	6166	1179	78
ASV15	7	3	1	7	18	0	0	4	4	0	0	0	7891	1	5993	0	2	3	0	16644	3	0	5	0	3776	11042	272	3766	0	0	0	0	0	329	10	0	1	0	0	9	718	898	85	0	2776	11141	5	1	116	6643	93	7598	8	5454	1138	10951	7577	6598	1	1	1	0	578	1	0	1	15	0	2	6420	0	0	0	82	0	13	0	1	0	0	2	0	95	2027	0	9119	9712	704	10	0	0
ASV16	5	1	0	3	11	0	0	7	2	0	0	0	5575	1	4309	1	0	0	0	11661	2	0	1	0	2909	7954	162	2671	0	1	0	0	0	238	8	0	1	0	1	4	500	640	55	0	1886	8090	4	1	102	4556	49	5692	5	3844	756	7641	5439	4598	1	0	0	1	448	0	0	0	5	1	1	4402	0	0	0	57	0	7	1	1	0	0	0	0	52	1498	0	6414	6765	501	8	0	0
ASV17	0	0	1	4	0	0	0	9	4939	0	1	573	1	1611	1	0	97	1259	11	7	1373	42	61	2522	0	5	0	1	906	1	0	0	0	61	5	16	1524	0	1	6782	3	2	1421	74	0	0	1333	2	3648	7	967	23	206	2	5	0	1	0	4	767	429	369	521	104	0	4422	6017	1	4284	5	1502	12	120	303	2	51	7	8	1293	4053	1160	2	1430	2	0	0	0	379	4896	999	72
