OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU1	0	4	115	1	15	6	70891	0	19781	22770	2403	7622	12901	3	2	27268	40	1	8	47913	4	11	32670	3028	1	18	516	7103	0	24541	43740	107	6	30300	11485	1248	12476	33971	6	7	7	464	3	5	9	17134	61793	34212	14429	326	24088	13402	6	17	17	6	5	35107	46389	2187	2	2	344	22446	6	26	65629	24	192	26003	0	4	6	53	8036	64737	74656	27	41541	13329	144	679	7636	10329	4339	0	50032	3834	5	1208
OTU2	31	15	45	154	1	7	46	25	0	0	1	59092	5	45153	5	7	9	0	124772	14	10	20	8	29933	82215	2524	33283	3	8	0	1	0	2575	89	1	0	0	10	69	6218	8255	657	0	20675	82400	37	2	976	49078	621	57756	57	41858	9999	77944	54990	46224	4	9	1	0	4606	0	5	6	99	2	6	46795	0	0	1	595	1	152	0	5	0	1	9	1	701	18949	0	68594	72253	5357	83	0	0
OTU3	2	0	6	0	2	3	64	33651	0	4	3460	7	10702	10	3	569	8625	68	37	9312	454	424	17296	0	26	2	6	6338	9	1	8	1	459	24	133	10841	0	12	46003	24	30	9325	416	4	5	9332	15	25093	50	7065	208	1391	15	35	1	25	1	10	4990	2965	2800	3824	659	2	30180	41112	4	29819	22	10389	52	855	2107	8	372	62	52	9205	27788	7812	6	9999	8	0	0	0	2668	34216	6787	530
OTU4	3	0	28	0	0	17	26	0	4	4	630	449	4183	0	0	38037	77	9	10	19380	69685	3	4	11	39	27	6	4	36	6	0	16	122	0	12	3	4	326	2	663	417	50739	3	0	8	48006	16	96	372	37100	2104	13959	4	437	27	1	63	9	19	0	0	1	2	44	9	3	12	4	60	44820	2	6	16177	13	0	29	44	135	4	8	13	53242	4	0	32	27	1	11	122	1
OTU5	123	0	4	0	4	0	2	0	9233	17367	6863	1870	1648	2830	7911	927	12112	5	1	43	0	1	51	3	1	5	5857	23768	7	67993	1968	0	4	17903	13504	499	19912	0	0	153	72	79	0	221	1137	90	6	2184	2	49	2	15	0	117	459	0	0	36989	31	10186	0	3	240	7	124	11897	0	0	19112	138	33982	2	4746	6040	14801	1	0	14194	0	1791	0	107	2	9	865	0	757	25	10398	9974
OTU6	0	2	4	0	1	0	375	64	82	52	18	54	88	425	1766	70	1351	3575	1561	424	1891	464	481	38	75	90	63	11	197	19	138	37	214	292	36	926	34	636	271	34186	34624	142	7319	1833	178	51	23	166	71	136	184	43	389	38697	336	121	107	215	795	450	5702	250	163	323	1700	13913	21	2855	102	251	31	3602	100	423	2113	402	375	1519	330	765	295	197	279	32	156	421	970	84	1036	1167
OTU7	0	565	5	1	2	0	1522	2011	4718	57	49	941	1351	243	751	277	3584	22	1923	2147	508	2826	3188	18	342	888	0	277	4038	33	7789	168	4332	497	20	7059	243	5676	2335	634	563	4625	1039	1	416	920	3434	1250	1153	7043	2682	4874	1769	590	22	66	143	617	30	1735	745	748	13943	469	118	497	62	63	6	1835	89	4996	64	610	302	1867	1312	3146	809	9821	6506	3768	50	100	41	1	6909	1065	4224	1163
OTU8	0	1	1	0	0	0	0	0	8195	0	2	1	2	0	540	3	0	0	48	22	0	134	0	0	0	1	138	2	0	2	0	0	105	0	1	0	27644	4	442	1	1	0	0	0	46	3	7479	161	1	0	0	16	2	0	2	0	0	0	13	0	0	0	5	0	0	1	0	3	0	1054	1	0	1	1	0	0	1	0	1	1590	0	1	1	42962	8	0	0	22	0	11
OTU9	0	0	15	0	0	0	0	1344	0	1	0	0	0	7	0	0	13223	0	0	0	313	0	0	0	0	0	0	0	4	0	0	0	84	0	0	43	0	0	0	0	0	2289	0	0	1	0	3	44	20	1724	85	136	0	2	119	0	15633	0	0	0	0	1	18195	0	3842	689	0	25	0	73	0	0	0	1	0	0	0	14629	0	0	0	2692	712	0	0	0	0	0	13117	1907
OTU10	0	0	0	0	0	0	0	2391	0	0	0	0	1852	0	0	0	0	0	0	4	0	4978	26	0	0	0	1	2	0	0	0	0	3187	0	0	0	0	0	30055	0	0	0	0	0	0	0	0	16480	0	1	0	10	0	0	0	0	0	2	1	11077	0	0	103	0	0	44	0	3970	3	0	0	0	3	0	0	0	0	0	1	11	0	0	0	0	0	0	465	681	0	0
