OTU	size	match	species	ID1	ID2	rep/refs	Kingdom	Phylum	Class	Order	Family	Genus	Species	taxonomy	Guild_full	Guild	Trophic_Mode	Confidence Ranking
OTU1	910257	99.4	Russula_decolorans	UDB011326	SH1220296.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_decolorans	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_decolorans	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU10	55041	98.7	Russula_densifolia	UDB06048216	SH1067015.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_densifolia	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_densifolia	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU100	1882	98.8	Rhizopogon_evadens	AF062927	SH1120620.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_evadens	Fungi;Basidiomycota;Agaricomycetes;Boletales;Rhizopogonaceae;Rhizopogon;Rhizopogon_evadens	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU101	1818	99.2	Penicillium_catalonicum	KF303650	SH3821251.09FU	refs	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_catalonicum	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_catalonicum	Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Highly Probable
OTU102	1827	99.2	Metapochonia_bulbillosa	AJ292410	SH1111046.09FU	refs	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia	Metapochonia_bulbillosa	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Metapochonia;Metapochonia_bulbillosa	Animal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU103	1791	99.2	Cladophialophora_sp	UDB02991500	SH1280287.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU104	1862	98.8	Cladophialophora_sp	UDB03011963	SH1069521.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU105	1784	97.7	Cladophialophora_sp	UDB02756708	SH1165524.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU106	1841	99	Spizellomycetales_sp	UDB07382679	SH0878896.09FU	reps	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	-	-	-	Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;-;-;-	-	nd	nd	-
OTU109	2024	99.3	Serendipita_sp	JQ420944	SH1218698.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	-	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita;-	Ectomycorrhizal-Endophyte-Ericoid Mycorrhizal-Orchid Mycorrhizal-Undefined Saprotroph	Ectomycorrhizal	Saprotroph-Symbiotroph	Highly Probable
OTU11	55992	99.4	Solicoccozyma_terricola	AF444350	SH0879613.09FU	refs	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;Solicoccozyma_terricola	Epiphyte-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU110	1759	97.2	Apiotrichum_sporotrichoides	KY101693	SH1556057.09FU	refs_singleton	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_sporotrichoides	Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;Apiotrichum_sporotrichoides	Undefined Saprotroph	nd	nd	Possible
OTU111	1692	97.4	Mortierella_pulchella	JX976063	SH1299077.09FU	refs	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_pulchella	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_pulchella	Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU112	2057	99.7	Cortinarius_fuscodiscus	MT935075	SH1281331.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_fuscodiscus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_fuscodiscus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU113	1518	99.1	Kochiomyces_sp	UDB02363714	SH1108881.09FU	reps	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Kochiomyces	-	Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;Spizellomycetaceae;Kochiomyces;-	Algal Parasite-Plant Pathogen-Pollen Saprotroph	Saprotroph	Pathotroph-Saprotroph	Probable
OTU115	1436	99.1	GS21_sp	UDB02432305	SH1203092.09FU	reps	Fungi	Mucoromycota	Endogonomycetes	-	-	-	-	Fungi;Mucoromycota;Endogonomycetes;-;-;-;-	-	nd	nd	-
OTU117	1413	99.4	Suillus_bovinus	UDB015816	SH1212933.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_bovinus	Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;Suillus_bovinus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU119	1274	98.5	Cortinarius_dolabratoides	KX964302	SH1282110.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_dolabratoides	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_dolabratoides	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU12	51322	99	Cortinarius_ominosus	MN751701	SH1303739.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_ominosus	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius_ominosus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU120	1271	99.4	Russula_sp	UDB06217209	SH1180574.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	-	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU121	1343	98	Mortierella_sp	UDB04683978	SH1304516.09FU	reps	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	-	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;-	Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU124	1175	99	Schizoporaceae_sp	UDB07536059	SH1236525.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	-	-	Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;-;-	Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU125	1162	98.4	Agaricomycetes_sp	UDB0945706	SH1286098.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU126	1123	96.8	Mucor_moelleri	JN206121	SH0977789.09FU	refs	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_moelleri	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;Mucor_moelleri	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU128	2556	98	Rozellomycota_sp	UDB06700828	SH1074436.09FU	reps	Fungi	Rozellomycota	-	-	-	-	-	Fungi;Rozellomycota;-;-;-;-;-	-	nd	nd	-
OTU13	66643	99.2	Trichoderma_viride	DQ677655	SH3106886.09FU	refs	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_viride	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma_viride	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU130	1347	97.3	Tremellales_sp	UDB06403771	SH1091385.09FU	reps	Fungi	Basidiomycota	Tremellomycetes	Tremellales	-	-	-	Fungi;Basidiomycota;Tremellomycetes;Tremellales;-;-;-	Fungal Parasite-Undefined Saprotroph	nd	nd	Possible
OTU133	996	99.1	Rhodocollybia_butyracea	UDB011434	SH1128461.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Rhodocollybia	Rhodocollybia_butyracea	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Omphalotaceae;Rhodocollybia;Rhodocollybia_butyracea	Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU135	1162	98.2	Umbelopsis_sp	UDB06947949	SH0898221.09FU	reps	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	-	Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis;-	Undefined Saprotroph	Saprotroph	Saprotroph	Probable
OTU136	967	99	Lactarius_tabidus	EF493293	SH1807022.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_tabidus	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;Lactarius_tabidus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU14	41110	98.9	Piloderma_olivaceum	UDB001747	SH0943302.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Pilodermataceae	Piloderma	Piloderma_olivaceum	Fungi;Basidiomycota;Agaricomycetes;Atheliales;Pilodermataceae;Piloderma;Piloderma_olivaceum	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU140	2437	96	Rozellomycota_sp	UDB06738400	SH1074357.09FU	reps	Fungi	Rozellomycota	-	-	-	-	-	Fungi;Rozellomycota;-;-;-;-;-	-	nd	nd	-
OTU141	1027	99.7	Mortierella_macrocystis	JX975862	SH1306440.09FU	refs	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_macrocystis	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_macrocystis	Endophyte-Plant Saprotroph-Undefined Saprotroph	Saprotroph	Saprotroph-Symbiotroph	Probable
OTU142	843	96.8	Cladophialophora_sp	UDB02819204	SH1280489.09FU	reps	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	-	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;-	Animal Pathogen-Endophyte-Fungal Parasite-Undefined Saprotroph	Saprotroph	Pathotroph-Saprotroph-Symbiotroph	Probable
OTU143	837	98.8	Hypomyces_rosellus	UDB006036	SH1268730.09FU	refs	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces_rosellus	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces_rosellus	Fungal Parasite	Fungal Parasite	Pathotroph	Highly Probable
OTU144	836	98.6	Tomentella_sp	UDB05935300	SH1138727.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	-	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;-	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU145	830	99.2	Agaricomycetes_sp	UDB06332866	SH0929334.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	-	-	-	-	Fungi;Basidiomycota;Agaricomycetes;-;-;-;-	-	nd	nd	-
OTU146	847	98.1	Elaphomyces_muricatus	KR029730	SH1268069.09FU	refs	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces_muricatus	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Elaphomycetaceae;Elaphomyces;Elaphomyces_muricatus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU147	2179	98.9	Serendipitaceae_sp	HQ211773	SH1218552.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	-	-	Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;-;-	-	nd	nd	-
OTU148	1028	97.6	Sporidiobolales_sp	UDB07548648	SH0895531.09FU	reps	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	-	-	-	Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;-;-;-	-	nd	nd	-
OTU15	34501	98.8	Russula_vinosa	UDB000350	SH1220386.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_vinosa	Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_vinosa	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU150	813	97.9	Gloiothele_citrina	UDB0183675	SH1248683.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Gloiothele	Gloiothele_citrina	Fungi;Basidiomycota;Agaricomycetes;Russulales;Lachnocladiaceae;Gloiothele;Gloiothele_citrina	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU151	765	99.3	Botryobasidium_subcoronatum	EU118607	SH1241766.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium_subcoronatum	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium_subcoronatum	Undefined Saprotroph-Wood Saprotroph	Saprotroph	Saprotroph	Probable
OTU152	705	99.4	Tomentellopsis_zygodesmoides	UDB000186	SH1233151.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentellopsis	Tomentellopsis_zygodesmoides	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentellopsis;Tomentellopsis_zygodesmoides	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
OTU153	699	99.3	Sistotrema_sp	EU668935	SH1210376.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	-	Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Sistotrema;-	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	nd	nd	Possible
OTU154	884	97.3	Chytridiomycota_sp	UDB02292108	SH0899314.09FU	reps	Fungi	Chytridiomycota	-	-	-	-	-	Fungi;Chytridiomycota;-;-;-;-;-	-	nd	nd	-
OTU156	890	97.8	Mortierellaceae_sp	UDB04653578	SH1304522.09FU	reps	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	-	-	Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;-;-	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	nd	nd	Possible
OTU157	676	97.1	Thelephoraceae_sp	UDB05636622	SH1207479.09FU	reps	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	-	-	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;-;-	Ectomycorrhizal-Undefined Saprotroph	Ectomycorrhizal	Saprotroph-Symbiotroph	Probable
OTU158	669	99.3	Phellodon_melaleucus	UDB001709	SH1272305.09FU	refs	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Phellodon	Phellodon_melaleucus	Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Bankeraceae;Phellodon;Phellodon_melaleucus	Ectomycorrhizal	Ectomycorrhizal	Symbiotroph	Highly Probable
